id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,model,validator_comment,failure_category
t033,"Hey, this is Alex (order #A1023). I just saw a $89 charge on my card even though the checkout said $79 for the Bluetooth headphones. I’m pretty annoyed—can you refund the extra $10 ASAP?",refund_request,refund_request,Customer requests a refund for the extra $10 charge,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t034,"Good afternoon, my name is Priya and my order number is 5789‑B. The invoice reflects $89, but the website displayed a total of $79 for the smart lamp I purchased. Could you please process a refund for the discrepancy? Thank you for your assistance.",refund_request,refund_request,Customer requests a refund due to price discrepancy on the invoice,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t035,Refund needed: order 0045‑X,refund_request,refund_request,Customer explicitly requests a refund for order 0045‑X,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t036,$89 billed vs $79 shown for the kitchen gadget. Fix it.,refund_request,refund_request,"Customer reports being overcharged and asks to fix the price difference, requesting a refund.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t037,,refund_request,other,No ticket content provided to determine intent,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t038,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,Customer explicitly requests a cash refund to the original card,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t039,"I’m okay with returning the item for store credit, but I’d actually rather have the refund posted back to the credit card I used.",refund_request,refund_request,Customer explicitly requests a refund to the credit card,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t040,"Returning this for store credit works, yet I’d truly prefer the money returned to my original payment method instead of a credit.",refund_request,refund_request,Customer explicitly requests a refund to original payment method instead of store credit,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t041,"Fine, I’ll send it back for store credit, but honestly I want the cash refunded to my original card.",refund_request,refund_request,Customer explicitly requests a cash refund to the original card,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t042,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,"Customer reports a cracked carafe, indicating a defect in the received product.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t043,"Hey, this is Alex (Order #A12345). I just got the BrewMaster coffee maker and the carafe is cracked straight out of the box. Super annoyed – I expected a pristine product!",product_issue,product_issue,The customer reports a cracked product received.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t044,"To whom it may concern, my name is Priya, order 987654. The coffee machine I received has a fractured carafe. I’m quite disappointed and would appreciate a replacement at your earliest convenience.",product_issue,product_issue,Customer reports a broken item and wants a replacement,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t045,"I got order #Z9-77, the pot’s carafe is cracked. Fix it.",product_issue,product_issue,"Customer reports a cracked carafe, indicating a product defect.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t046,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,refund_request,Customer requests a full refund for damaged laptop,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t047,"Hey, this is Alex (order #A12345). The laptop I got is dented and won’t even turn on. I’m not interested in a replacement – I need a full refund ASAP, thanks.",product_issue,refund_request,Customer explicitly requests a full refund for the defective laptop,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t048,"To whom it may concern, my name is Priya and my order 987654321 included a laptop that arrived with a cracked screen. I would appreciate a complete refund rather than a replacement.",product_issue,refund_request,Customer explicitly requests a full refund for the damaged laptop,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t049,"Damaged laptop, order #Z9-8-7. No replacement, just a refund.",product_issue,refund_request,Customer explicitly requests a refund for the damaged laptop,False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t050,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"Customer received wrong size shirt, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t051,"Hey, I’m really annoyed—my order #4521 came with a medium tee when I explicitly ordered a large. This is the second time this mix‑up has happened, and it’s getting frustrating.",product_issue,product_issue,"Customer received wrong size item, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t052,"Hello, I hope you can help. I received a medium-sized shirt for order #8390, but I had requested a large. This is the second occurrence, and I’d appreciate a quick resolution. Thank you!",product_issue,product_issue,"Customer received wrong size item, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t053,Order 6734: sent me a medium shirt instead of the large I asked for. This is the second time it’s happened. Fix it.,product_issue,product_issue,"Customer received wrong size shirt, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t054,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,Customer reports misleading product description and missing required dongle,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t055,"I’m really annoyed—your listing claimed the device was wireless, yet I was forced to purchase an extra dongle. This is misleading!",product_issue,product_issue,Customer reports the product is not as described (requires extra dongle).,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t056,"Hello, I noticed the product page says it’s wireless, but I ended up needing a separate dongle to get it working. Could you clarify this discrepancy?",product_issue,product_issue,"Customer reports the product description is inaccurate, causing a functional issue",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t057,"Product says wireless, but I needed a dongle. Wrong info.",product_issue,product_issue,"The customer reports the product description was inaccurate, leading to a mismatch with their needs.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t058,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,"Customer reports damaged packaging and missing manual, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t059,"Hey, this is Alex (Order #A1023). The gadget works, but the package arrived dented and there’s no manual inside. Can you send me a replacement guide?",product_issue,product_issue,"Customer reports damaged packaging and missing manual, seeking a replacement guide.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t060,"Dear Support, I’m writing regarding my recent purchase (Order 5789) of the kitchen mixer. While the appliance functions perfectly, the cardboard box was severely crushed during shipping and the instruction booklet was omitted. Please advise on how to obtain the missing manual.",product_issue,product_issue,"The customer reports a damaged box and missing manual, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t061,"Yo, got the new headphones – they play fine. Box is smashed, no manual. Fix it.",product_issue,product_issue,"Customer reports damaged packaging and missing manual, indicating a product issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t062,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,The customer is unable to log in and needs help with password issues.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t063,"I’m fed up—no matter how many times I reset it, the system still tells me my password is incorrect and won’t let me log in!",account_help,account_help,Customer cannot log in due to password issues,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t064,"Hello, I’m having trouble accessing my account. After resetting my password, it still says it’s wrong. Could you please help?",account_help,account_help,User cannot log in after password reset,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t065,"Can't log in. Password reset done, still says wrong.",account_help,account_help,User cannot log in despite password reset,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t066,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,Customer asks how to change the credit card on file,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t067,"Hey, I'm trying to change the card linked to my account (order #4521, product: wireless headphones) but I can't find any place in the settings to do it. Can someone point me there?",account_help,account_help,Customer wants to change the payment card linked to their account,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t068,Could you please guide me on updating the credit card info for my account? I’ve looked through the settings and don’t see the option. Thanks!,account_help,account_help,The customer asks how to update credit card information in their account.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t069,"Update my payment method – I can’t locate the edit‑card section in the dashboard (order 8392, smart watch).",account_help,account_help,Customer needs help updating payment method in account settings,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t070,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,"Customer reports being logged out during checkout, indicating a login/account issue",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t071,"Hey support, I'm trying to buy a new headset (order #8421) and the site keeps kicking me out right in the middle of payment. It's super annoying—please fix this ASAP!",account_help,other,"The ticket reports a checkout error, not fitting the other specific categories",False,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t072,"Hello, I encountered an issue while attempting to complete my purchase of the ""UltraSoft Pillow"" (order 5578). The checkout process logs me out repeatedly. Could you assist in resolving this?",account_help,account_help,Customer reports being logged out during checkout and needs help completing purchase,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t073,Checkout keeps logging me out mid‑payment for order 3019 – need it fixed now.,account_help,account_help,Customer is unable to stay logged in during checkout and needs help fixing the account issue,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t074,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,Customer wants to update/remove a shipping address,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t075,"Hey, I just moved a month ago—can you delete my previous shipping address from your system? I don’t want any packages sent there anymore.",account_help,account_help,Customer wants to delete an old shipping address from their account,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t076,Kindly update my account by removing the outdated shipping address associated with my profile. I recently relocated and would appreciate ensuring no deliveries go to the former location.,account_help,account_help,Customer wants to update their shipping address in their account,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t077,Delete the old address on file. I moved last month; stop sending stuff there.,account_help,account_help,Customer wants to delete old address and update shipping info,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t078,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,"Customer reports unexpected 2FA codes and concerns about account access, needing help with account security",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t079,I'm getting random 2FA codes all day—someone must be trying to hack me!,account_help,account_help,The customer reports unauthorized 2FA codes and needs help with their account security.,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t080,"Hello, I’ve been receiving unsolicited two‑factor authentication codes on my account. Could you check if there’s any unauthorized access attempt?",account_help,account_help,"The user reports unexpected 2FA codes and asks to check for unauthorized access, which relates to account security assistance.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t081,Got unwanted 2FA codes. What's up?,account_help,account_help,"The customer is asking about unexpected two-factor authentication codes, which relates to account assistance.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t082,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,"The customer asks about shipping availability to Canada, which is a general inquiry.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t083,"Hey, quick question—do you ship items to Canada? I looked through the FAQ and didn't see anything about it.",other,other,"Customer asks about shipping availability to Canada, which is a general question not covered by other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t084,"I’m trying to figure out if you deliver to Canada. Your FAQ doesn’t mention it, so could you confirm?",other,other,The customer is asking a general question about delivery locations to Canada,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t085,Do you ship to Canada? I couldn't locate that info on your FAQ.,other,other,"The customer is asking about shipping availability to Canada, which doesn't fit other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t086,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The ticket is positive feedback, not a request or issue",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t087,"I have to say, the support agent I talked to yesterday was absolutely fantastic—thanks a lot!",other,other,The message is positive feedback without a specific request,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t088,"The rep from yesterday was great, really appreciated the help. Thanks!",other,other,The message is just positive feedback without a specific request,True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t089,"Wow, that customer service rep I spoke with yesterday was awesome. Thank you!",other,other,"The message is positive feedback, not a request or issue.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t090,Is the red version of SKU-1140 back in stock?,other,other,"Customer asks about product availability, which doesn't fit other categories",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t091,"Hey, this is Alex. I keep checking but can't find the red SKU‑1140 anywhere—any chance it's back in inventory soon?",other,other,"Customer asks about product availability, which doesn't fit other categories",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t092,"Dear support, could you please confirm whether the red variant of product SKU‑1140 is currently available? Thank you.",other,other,"The customer is asking about product availability, which doesn't fit the other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t093,"Yo, got the red SKU‑1140? Need it now.",other,other,"Customer asks about product availability and urgency, not fitting other specific categories",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t094,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The customer asks about a student discount, which doesn't fit other categories",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t095,"Hey, I’m a college student and I can’t see any student discount option when I tried to pay. Do you have one or is it hidden?",other,other,"The ticket asks about a student discount, which doesn't fit the defined categories",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t096,Could you please confirm whether a student discount is available? I didn’t notice any such option during checkout.,other,other,"The customer is asking about a discount option, which doesn't fit the other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t097,Student discount? Not seeing it at checkout—do you even offer that?,other,other,"The customer is asking about a discount availability, which doesn't fit the other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t098,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The customer is asking about upcoming sales, not about orders, refunds, product issues, or account help.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t099,"Hey there, it's Alex—any word on when the next big sale is? My birthday's around the corner and I'm ready to go all out.",other,other,"The customer is asking about upcoming sales, not about orders, refunds, product issues, or account help.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t100,Could you let me know the date of your upcoming promotion? I'd like to plan a birthday splurge.,other,other,"The ticket asks about promotion dates, which is a general inquiry not covered by other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
t101,When's the next discount event? Need to know for my birthday shopping.,other,other,"The customer asks about upcoming discount events, which doesn't fit the other categories.",True,improved-gpt-oss-120b,v2,openai/gpt-oss-120b,,
