id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is asking why their 2‑day shipping order has not arrived after 9 days.,True,baseline,v1,,
t013,I was promised 2‑day delivery but it's been over a week—nine days now. This is unacceptable!,order_status,order_status,The customer is complaining about delayed delivery and wants to know the status of their order.,True,baseline,v1,,
t014,"Hey there, I ordered the gadget (order #A12345) with 2‑day shipping, yet it's been nine days and still no sign. Could you please check?",order_status,order_status,The customer is asking about the delayed delivery of their order.,True,baseline,v1,,
t015,2‑day shipping? It's been 9 days. Fix it.,order_status,order_status,The customer is asking about delayed shipping and wants an update on delivery.,True,baseline,v1,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer cannot access the tracking link and wants to know the order's delivery status.,True,baseline,v1,,
t017,"Hey, I’m really annoyed—every time I click the tracking link in the email it just keeps loading and never shows anything. This is for order #88421, can you fix it ASAP?",order_status,order_status,Customer cannot view tracking info for their order and needs status update,True,baseline,v1,,
t018,"Hello, I hope you can help me. The tracking link included in the confirmation email for my recent purchase (order #99234, a set of wireless earbuds) seems to be stuck on a loading screen and never resolves. Could you please provide an updated link or status? Thank you.",order_status,order_status,Customer cannot view tracking info and asks for updated status.,True,baseline,v1,,
t019,The tracking URL won’t load—just spins. Order #77568.,order_status,order_status,The customer reports a tracking URL issue and wants to know the order's delivery status.,True,baseline,v1,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,Customer wants to return the headphones and get a refund,True,baseline,v1,,
t021,"Hey, this is Alex (order #A12345). I’m pretty annoyed – I bought those Bluetooth headphones a week ago, never opened them, and I want a full refund ASAP.",refund_request,refund_request,The customer wants a full refund for the headphones they purchased.,True,baseline,v1,,
t022,"Good afternoon, my name is Priya. I purchased the over‑ear headphones under order 987654 on September 1st. They remain sealed, and I would like to return them for a refund, please.",refund_request,refund_request,The customer wants to return a sealed product for a refund.,True,baseline,v1,,
t023,"Return request: order #ZX9 – headphones, unopened, want money back.",refund_request,refund_request,Customer wants a refund for an unopened order,True,baseline,v1,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is asking about the status of a refund after returning an item.,True,baseline,v1,,
t025,"Hey, I sent back order #A12345 two weeks ago and my card still hasn't shown the refund. What's the hold‑up?",refund_request,refund_request,The customer is asking why their refund hasn't been received after returning an order.,True,baseline,v1,,
t026,"Good afternoon, I returned the product from order 98765 about fourteen days ago. Could you please check the status of my refund? It hasn't appeared on my account yet.",refund_request,refund_request,Customer is asking to check the status of their refund after returning a product.,True,baseline,v1,,
t027,Refund still missing after I shipped back the item (order #Z9X8) two weeks ago. Need this sorted ASAP.,refund_request,refund_request,Customer reports a missing refund after returning the item.,True,baseline,v1,,
t028,Please cancel order 99021 and refund my card. I no longer need it.,refund_request,refund_request,The customer asks to cancel the order and get a refund.,True,baseline,v1,,
t029,"Hey, I’m done with order #45219 – please pull the plug and put the money back on my credit card ASAP. Thanks.",refund_request,refund_request,The customer explicitly asks for a refund to be returned to their credit card.,True,baseline,v1,,
t030,Kindly cancel order 77364 and process a refund to my card. I no longer require the item.,refund_request,refund_request,The customer asks to cancel the order and receive a refund.,True,baseline,v1,,
t031,Cancel order 99021. Refund my card.,refund_request,refund_request,The customer explicitly asks for a refund after canceling an order.,True,baseline,v1,,
t032,I was charged $89 but the website showed $79 at checkout. Please refund the difference.,refund_request,refund_request,The customer is asking for a refund of the price difference.,True,baseline,v1,,
t033,"Hey, this is Alex (order #A1023). I just saw a $89 charge on my card even though the checkout said $79 for the Bluetooth headphones. I’m pretty annoyed—can you refund the extra $10 ASAP?",refund_request,refund_request,Customer was overcharged and requests a refund for the extra amount.,True,baseline,v1,,
t034,"Good afternoon, my name is Priya and my order number is 5789‑B. The invoice reflects $89, but the website displayed a total of $79 for the smart lamp I purchased. Could you please process a refund for the discrepancy? Thank you for your assistance.",refund_request,refund_request,Customer notices a price discrepancy on the invoice and asks for a refund.,True,baseline,v1,,
t035,Refund needed: order 0045‑X,refund_request,refund_request,The ticket explicitly requests a refund for an order.,True,baseline,v1,,
t036,$89 billed vs $79 shown for the kitchen gadget. Fix it.,refund_request,refund_request,"The customer is disputing a price difference and wants a correction, implying a refund or price adjustment.",True,baseline,v1,,
t037,,refund_request,other,"The ticket content is empty, so it does not fit any specific category.",False,baseline,v1,,
t038,Returning these for store credit is fine but honestly I'd prefer cash back to my original card.,refund_request,refund_request,Customer wants cash back to original card instead of store credit,True,baseline,v1,,
t039,"I’m okay with returning the item for store credit, but I’d actually rather have the refund posted back to the credit card I used.",refund_request,refund_request,Customer wants a refund to the credit card instead of store credit.,True,baseline,v1,,
t040,"Returning this for store credit works, yet I’d truly prefer the money returned to my original payment method instead of a credit.",refund_request,refund_request,Customer wants a refund to original payment method instead of store credit,True,baseline,v1,,
t041,"Fine, I’ll send it back for store credit, but honestly I want the cash refunded to my original card.",refund_request,refund_request,Customer wants a cash refund to the original card,True,baseline,v1,,
t042,The coffee maker arrived with a cracked carafe. Really disappointed.,product_issue,product_issue,"The customer reports a cracked carafe, indicating a defect upon arrival.",True,baseline,v1,,
t043,"Hey, this is Alex (Order #A12345). I just got the BrewMaster coffee maker and the carafe is cracked straight out of the box. Super annoyed – I expected a pristine product!",product_issue,product_issue,"The customer reports a cracked carafe, indicating a defective product.",True,baseline,v1,,
t044,"To whom it may concern, my name is Priya, order 987654. The coffee machine I received has a fractured carafe. I’m quite disappointed and would appreciate a replacement at your earliest convenience.",product_issue,product_issue,The customer reports a damaged item and requests a replacement.,True,baseline,v1,,
t045,"I got order #Z9-77, the pot’s carafe is cracked. Fix it.",product_issue,product_issue,"The customer reports a cracked carafe, indicating a product defect.",True,baseline,v1,,
t046,"My laptop arrived damaged and I want a full refund, not a replacement.",product_issue,product_issue,"The customer reports a damaged laptop and wants a refund, indicating a product issue.",True,baseline,v1,,
t047,"Hey, this is Alex (order #A12345). The laptop I got is dented and won’t even turn on. I’m not interested in a replacement – I need a full refund ASAP, thanks.",product_issue,refund_request,"Customer reports a dented, non‑functional laptop and explicitly requests a full refund.",False,baseline,v1,,
t048,"To whom it may concern, my name is Priya and my order 987654321 included a laptop that arrived with a cracked screen. I would appreciate a complete refund rather than a replacement.",product_issue,refund_request,Customer reports a cracked laptop and explicitly asks for a full refund,False,baseline,v1,,
t049,"Damaged laptop, order #Z9-8-7. No replacement, just a refund.",product_issue,refund_request,The customer wants a refund for a damaged laptop.,False,baseline,v1,,
t050,You sent me a size medium shirt but I ordered a large. Second time this has happened.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t051,"Hey, I’m really annoyed—my order #4521 came with a medium tee when I explicitly ordered a large. This is the second time this mix‑up has happened, and it’s getting frustrating.",product_issue,product_issue,"Customer received wrong size item, indicating a product issue.",True,baseline,v1,,
t052,"Hello, I hope you can help. I received a medium-sized shirt for order #8390, but I had requested a large. This is the second occurrence, and I’d appreciate a quick resolution. Thank you!",product_issue,product_issue,Customer received wrong size shirt,True,baseline,v1,,
t053,Order 6734: sent me a medium shirt instead of the large I asked for. This is the second time it’s happened. Fix it.,product_issue,product_issue,"The customer received the wrong size shirt, indicating a product issue.",True,baseline,v1,,
t054,The product description said 'wireless' but I had to buy a separate dongle to use it. Misleading.,product_issue,product_issue,"The item is not as described, requiring an extra dongle.",True,baseline,v1,,
t055,"I’m really annoyed—your listing claimed the device was wireless, yet I was forced to purchase an extra dongle. This is misleading!",product_issue,product_issue,"The item does not match the listing description, causing a product issue.",True,baseline,v1,,
t056,"Hello, I noticed the product page says it’s wireless, but I ended up needing a separate dongle to get it working. Could you clarify this discrepancy?",product_issue,product_issue,"The customer reports the product description is inaccurate, indicating a mismatch between advertised features and actual requirements.",True,baseline,v1,,
t057,"Product says wireless, but I needed a dongle. Wrong info.",product_issue,product_issue,"The product description was inaccurate, leading to a mismatch with the customer's needs",True,baseline,v1,,
t058,Item itself works fine but the box was crushed and the instruction manual is missing.,product_issue,product_issue,"The item arrived with a damaged box and missing manual, indicating a product condition problem.",True,baseline,v1,,
t059,"Hey, this is Alex (Order #A1023). The gadget works, but the package arrived dented and there’s no manual inside. Can you send me a replacement guide?",product_issue,product_issue,"The package was damaged and missing a manual, indicating a product issue.",True,baseline,v1,,
t060,"Dear Support, I’m writing regarding my recent purchase (Order 5789) of the kitchen mixer. While the appliance functions perfectly, the cardboard box was severely crushed during shipping and the instruction booklet was omitted. Please advise on how to obtain the missing manual.",product_issue,product_issue,The order arrived with a damaged box and missing instruction booklet.,True,baseline,v1,,
t061,"Yo, got the new headphones – they play fine. Box is smashed, no manual. Fix it.",product_issue,product_issue,"The customer reports a damaged box and missing manual, indicating a product condition problem.",True,baseline,v1,,
t062,I can't log into my account — it keeps saying my password is wrong even after I reset it.,account_help,account_help,"The user cannot log in due to password issues, which is an account help request.",True,baseline,v1,,
t063,"I’m fed up—no matter how many times I reset it, the system still tells me my password is incorrect and won’t let me log in!",account_help,account_help,"User cannot log in despite password resets, indicating account login assistance needed.",True,baseline,v1,,
t064,"Hello, I’m having trouble accessing my account. After resetting my password, it still says it’s wrong. Could you please help?",account_help,account_help,"User cannot log in after password reset, needing account assistance",True,baseline,v1,,
t065,"Can't log in. Password reset done, still says wrong.",account_help,account_help,"User cannot log in despite password reset, indicating account assistance needed",True,baseline,v1,,
t066,How do I update the credit card on file? I don't see the option anywhere in settings.,account_help,account_help,User wants to change their saved credit card information.,True,baseline,v1,,
t067,"Hey, I'm trying to change the card linked to my account (order #4521, product: wireless headphones) but I can't find any place in the settings to do it. Can someone point me there?",account_help,account_help,User wants to change the payment card linked to their account.,True,baseline,v1,,
t068,Could you please guide me on updating the credit card info for my account? I’ve looked through the settings and don’t see the option. Thanks!,account_help,account_help,The user asks how to update credit card information in their account.,True,baseline,v1,,
t069,"Update my payment method – I can’t locate the edit‑card section in the dashboard (order 8392, smart watch).",account_help,account_help,The user needs help updating their payment method in the account settings.,True,baseline,v1,,
t070,The website won't let me check out — it keeps logging me out mid-payment.,account_help,account_help,"User is being logged out during checkout, indicating a login/account issue",True,baseline,v1,,
t071,"Hey support, I'm trying to buy a new headset (order #8421) and the site keeps kicking me out right in the middle of payment. It's super annoying—please fix this ASAP!",account_help,account_help,"User cannot complete payment during checkout, indicating a need for help with the account/payment process",True,baseline,v1,,
t072,"Hello, I encountered an issue while attempting to complete my purchase of the ""UltraSoft Pillow"" (order 5578). The checkout process logs me out repeatedly. Could you assist in resolving this?",account_help,account_help,"The issue is being logged out during checkout, which relates to account/login problems.",True,baseline,v1,,
t073,Checkout keeps logging me out mid‑payment for order 3019 – need it fixed now.,account_help,account_help,"User experiences logout during checkout, needing help with the payment process",True,baseline,v1,,
t074,Please remove my old shipping address. I moved last month and don't want stuff going there.,account_help,account_help,"The request is to delete an old shipping address, which is an account management issue.",True,baseline,v1,,
t075,"Hey, I just moved a month ago—can you delete my previous shipping address from your system? I don’t want any packages sent there anymore.",account_help,account_help,User wants to delete an old shipping address from their account,True,baseline,v1,,
t076,Kindly update my account by removing the outdated shipping address associated with my profile. I recently relocated and would appreciate ensuring no deliveries go to the former location.,account_help,account_help,User wants to update their shipping address in their account,True,baseline,v1,,
t077,Delete the old address on file. I moved last month; stop sending stuff there.,account_help,account_help,"The request is to delete an old address, which is an account information change.",True,baseline,v1,,
t078,I keep getting 2FA codes I didn't request. Is someone trying to access my account?,account_help,account_help,User reports unexpected 2FA codes and suspects account access issues,True,baseline,v1,,
t079,I'm getting random 2FA codes all day—someone must be trying to hack me!,account_help,account_help,"User reports unexpected 2FA codes, indicating a need for account security assistance",True,baseline,v1,,
t080,"Hello, I’ve been receiving unsolicited two‑factor authentication codes on my account. Could you check if there’s any unauthorized access attempt?",account_help,other,"The issue concerns unexpected two‑factor codes and potential unauthorized access, which doesn't fit the defined categories.",False,baseline,v1,,
t081,Got unwanted 2FA codes. What's up?,account_help,account_help,"User reports unexpected two-factor authentication codes, indicating an account access issue.",True,baseline,v1,,
t082,Do you guys ship to Canada? Couldn't find it on the FAQ page.,other,other,"The customer is asking about shipping destinations, which doesn't fit the specific categories",True,baseline,v1,,
t083,"Hey, quick question—do you ship items to Canada? I looked through the FAQ and didn't see anything about it.",other,other,"The customer is asking about shipping destinations, which doesn't fit the other specific categories.",True,baseline,v1,,
t084,"I’m trying to figure out if you deliver to Canada. Your FAQ doesn’t mention it, so could you confirm?",other,other,"The customer is asking about delivery locations, which is a general inquiry not covered by the specific categories.",True,baseline,v1,,
t085,Do you ship to Canada? I couldn't locate that info on your FAQ.,other,other,"The customer is asking about shipping destinations, which doesn't fit the other specific categories.",True,baseline,v1,,
t086,Just wanted to say the customer service rep I spoke to yesterday was amazing. Thank you!,other,other,"The message is positive feedback, not a request or issue.",True,baseline,v1,,
t087,"I have to say, the support agent I talked to yesterday was absolutely fantastic—thanks a lot!",other,other,"The message is positive feedback, not a request or issue.",True,baseline,v1,,
t088,"The rep from yesterday was great, really appreciated the help. Thanks!",other,other,The message is a thank‑you note and does not request support or fit other categories,True,baseline,v1,,
t089,"Wow, that customer service rep I spoke with yesterday was awesome. Thank you!",other,other,"The message is positive feedback, not a request for order status, refund, product issue, or account help.",True,baseline,v1,,
t090,Is the red version of SKU-1140 back in stock?,other,other,"The query asks about product availability, which doesn't fit the defined categories",True,baseline,v1,,
t091,"Hey, this is Alex. I keep checking but can't find the red SKU‑1140 anywhere—any chance it's back in inventory soon?",other,other,"The customer is asking about product availability, which doesn't fit the defined categories.",True,baseline,v1,,
t092,"Dear support, could you please confirm whether the red variant of product SKU‑1140 is currently available? Thank you.",other,other,"The customer is asking about product availability, which doesn't fit the defined categories",True,baseline,v1,,
t093,"Yo, got the red SKU‑1140? Need it now.",other,order_status,The customer is asking about the availability and delivery timing of a specific product.,False,baseline,v1,,
t094,Do you offer a student discount? Couldn't find one at checkout.,other,other,"The inquiry is about a discount policy, not covered by the defined categories",True,baseline,v1,,
t095,"Hey, I’m a college student and I can’t see any student discount option when I tried to pay. Do you have one or is it hidden?",other,other,"The inquiry is about a possible student discount, which doesn't fit order, refund, product, or account help categories.",True,baseline,v1,,
t096,Could you please confirm whether a student discount is available? I didn’t notice any such option during checkout.,other,other,"The inquiry is about a discount option, not covered by the defined categories",True,baseline,v1,,
t097,Student discount? Not seeing it at checkout—do you even offer that?,other,other,"The inquiry is about a student discount availability, which doesn't fit order, refund, product, or account issues.",True,baseline,v1,,
t098,When's your next sale? My birthday is coming up and I'd love to splurge.,other,other,"The ticket asks about upcoming sales, not about orders, refunds, product issues, or account help.",True,baseline,v1,,
t099,"Hey there, it's Alex—any word on when the next big sale is? My birthday's around the corner and I'm ready to go all out.",other,other,"The ticket asks about upcoming sales, which doesn't fit order status, refund, product issue, or account help.",True,baseline,v1,,
t100,Could you let me know the date of your upcoming promotion? I'd like to plan a birthday splurge.,other,other,"The ticket asks about promotion dates, which doesn't fit order, refund, product, or account categories.",True,baseline,v1,,
t101,When's the next discount event? Need to know for my birthday shopping.,other,other,"The ticket asks about future discount events, which doesn't fit the other categories",True,baseline,v1,,
